up
Upload #24
Reader: Noname  Site: AA
--------- upload 24 start ---------
E 2016-05-02 14:29:39.52 upload 23 complete
E 2016-05-02 14:30:37.77 parameter change: mux sequence '13'
D 2016-05-03 19:34:00.02 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 19:42:56.94 00:00:00.21 HR 0000_0000000180573731 A3    2  4452
D 2016-05-03 19:48:54.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4443
D 2016-05-03 19:57:53.79 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-03 20:03:49.86 00:00:00.22 HR 0000_0000000180843403 A1    2  4444
D 2016-05-03 20:12:50.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-03 20:18:45.07 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 20:27:47.21 00:00:00.00 HR 0000_0000000180573731 A3    1  4453
D 2016-05-03 20:33:40.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 20:42:43.81 00:00:00.00 HR 0000_0000000180573731 A3    1  4452
D 2016-05-03 20:48:35.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 20:57:40.28 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
D 2016-05-03 21:03:30.11 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 21:12:36.70 00:00:00.20 HR 0000_0000000180573731 A3    2  4451
D 2016-05-03 21:18:25.15 00:00:00.00 HR 0000_0000000180843403 A1    1  4444
D 2016-05-03 21:27:33.33 00:00:00.00 HR 0000_0000000180573731 A3    1  4451
