ad
                           supply                    supply     clock
                            amps                      volts     volts
                        A3 0.88         EA 0.43   11.8 V     3.3 V   15:57:09.19
Rx 0.22 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:09.70
Rx 0.20 Tx                 A3 0.88 A4 0.96 EA 0.55   11.8 V     3.3 V   15:57:10.22
Rx 0.21 Tx                 A3 0.88 A4 0.96 EA 0.56   11.8 V     3.3 V   15:57:10.73

>up
Upload #15
Reader: UPSTREAM 34  Site: AA
--------- upload 15 start ---------
E 2017-05-01 14:55:43.65 upload 14 complete
E 2017-05-01 15:04:29.76 supply power ok 12.4V
E 2017-05-01 15:04:29.76 database file opened
E 2017-05-01 15:04:29.77 starting reader after power up
D 2017-05-02 17:20:03.17 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 17:32:12.87 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-02 17:35:00.52 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 17:47:10.25 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-02 17:49:57.90 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 18:02:07.79 00:00:00.00 HR 0000_0000000180598569 A3    1  4456
D 2017-05-02 18:04:55.25 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 18:17:05.18 00:00:00.00 HR 0000_0000000180598569 A3    1  4455
D 2017-05-02 18:17:47.28 00:00:03.43 HA      900_228000093628 A3   18   208
D 2017-05-02 18:18:45.98 00:00:01.02 HA      900_228000093628 A4    6  4124
D 2017-05-02 18:19:52.65 00:00:00.00 HR 0000_0000000180573731 A4    1   325
D 2017-05-02 18:32:02.34 00:00:00.00 HR 0000_0000000180598569 A3    1  4228
D 2017-05-02 18:34:49.78 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 18:46:59.24 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-02 18:49:46.89 00:00:00.00 HR 0000_0000000180573731 A4    1  4454
D 2017-05-02 19:01:56.21 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-02 19:04:44.27 00:00:00.20 HR 0000_0000000180573731 A4    2  4455
D 2017-05-02 19:16:53.16 00:00:00.00 HR 0000_0000000180598569 A3    1  4453
D 2017-05-02 19:19:41.82 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 19:31:49.91 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 19:34:39.16 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 19:46:46.61 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 19:49:36.47 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 20:01:43.14 00:00:00.00 HR 0000_0000000180598569 A3    1  4451
D 2017-05-02 20:04:33.82 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
D 2017-05-02 20:16:39.90 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 20:19:31.39 00:00:00.00 HR 0000_0000000180573731 A4    1  4456
D 2017-05-02 20:31:36.67 00:00:00.00 HR 0000_0000000180598569 A3    1  4452
D 2017-05-02 20:34:28.77 00:00:00.00 HR 0000_0000000180573731 A4    1  4455
