ad
                           supply                    supply     clock
                            amps                      volts     volts
                A2 0.94                 EA 0.46   13.0 V     3.2 V   12:08:44.41
Rx 0.23 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:44.93
Rx 0.22 Tx A1 1.70 A2 0.94                 EA 0.76   13.0 V     3.2 V   12:08:45.45

>up
Upload #14
Reader: DOWNSTREAM 12  Site: AA
--------- upload 14 start ---------
E 2017-05-11 14:49:44.85 upload 13 complete
D 2017-05-11 14:50:16.39 00:00:00.00 HR 0000_0000000180843440 A1    1   345
E 2017-05-11 14:57:41.82 supply power ok 12.7V
E 2017-05-11 14:57:41.82 database file opened
E 2017-05-11 14:57:41.82 starting reader after power up
D 2017-05-12 15:25:40.76 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-12 15:40:29.65 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 15:40:35.59 00:00:00.00 HR 0000_0000000180843440 A1    1  4442
D 2017-05-12 15:55:24.07 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 15:55:30.21 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-12 16:10:18.40 00:00:00.20 HR 0000_0000000180843403 A2    2  4440
D 2017-05-12 16:10:24.75 00:00:00.20 HR 0000_0000000180843440 A1    2  4441
D 2017-05-12 16:25:12.98 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 16:25:19.53 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-12 16:40:07.18 00:00:00.00 HR 0000_0000000180843403 A2    1  4439
D 2017-05-12 16:40:13.92 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-12 16:55:01.59 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 16:55:08.53 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-12 17:09:55.97 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 17:10:03.13 00:00:00.00 HR 0000_0000000180843440 A1    1  4441
D 2017-05-12 17:24:50.36 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 17:24:57.71 00:00:00.20 HR 0000_0000000180843440 A1    2  4441
D 2017-05-12 17:39:44.93 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 17:39:52.49 00:00:00.19 HR 0000_0000000180843440 A1    2  4441
D 2017-05-12 17:40:07.58 00:00:00.80 HA      900_228000093603 A1    5    73
D 2017-05-12 17:46:32.01 00:00:00.40 HA      900_228000093603 A1    3  1904
D 2017-05-12 17:46:58.19 00:00:00.00 HA      900_228000093603 A1    1   127
D 2017-05-12 17:47:03.52 00:00:00.20 HA      900_228000093603 A2    2  2177
D 2017-05-12 17:48:01.73 00:00:00.00 HA      900_228000093603 A2    1   287
D 2017-05-12 17:48:07.17 00:00:00.00 HA      900_228000093603 A2    1    26
D 2017-05-12 17:54:39.28 00:00:00.00 HR 0000_0000000180843403 A2    1  1946
D 2017-05-12 17:54:47.24 00:00:00.00 HR 0000_0000000180843440 A1    1  2328
D 2017-05-12 18:09:33.84 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 18:09:41.60 00:00:00.20 HR 0000_0000000180843440 A1    2  4440
D 2017-05-12 18:24:28.24 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 18:24:36.19 00:00:00.00 HR 0000_0000000180843440 A1    1  4440
D 2017-05-12 18:39:15.27 00:00:00.00 HA      900_228000093603 A1    1  4364
D 2017-05-12 18:39:22.82 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 18:39:30.58 00:00:00.00 HR 0000_0000000180843440 A1    1    75
D 2017-05-12 18:54:17.41 00:00:00.20 HR 0000_0000000180843403 A2    2  4441
D 2017-05-12 18:54:24.55 00:00:00.20 HR 0000_0000000180843440 A1    2  4438
D 2017-05-12 19:09:11.96 00:00:00.00 HR 0000_0000000180843403 A2    1  4440
D 2017-05-12 19:09:18.91 00:00:00.00 HR 0000_0000000180843440 A1    1  4439
D 2017-05-12 19:24:06.79 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 19:24:13.13 00:00:00.20 HR 0000_0000000180843440 A1    2  4439
D 2017-05-12 19:39:01.53 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 19:39:07.27 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-05-12 19:53:56.32 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 19:54:01.25 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-05-12 20:08:50.89 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 20:08:55.22 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-05-12 20:23:45.60 00:00:00.00 HR 0000_0000000180843403 A2    1  4442
D 2017-05-12 20:23:49.13 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-05-12 20:38:39.96 00:00:00.20 HR 0000_0000000180843403 A2    2  4440
D 2017-05-12 20:38:43.08 00:00:00.20 HR 0000_0000000180843440 A1    2  4438
D 2017-05-12 20:53:34.70 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 20:53:37.02 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-05-12 21:08:29.27 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 21:08:30.98 00:00:00.21 HR 0000_0000000180843440 A1    2  4438
D 2017-05-12 21:23:23.85 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 21:23:25.16 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-05-12 21:38:18.46 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
D 2017-05-12 21:38:19.17 00:00:00.00 HR 0000_0000000180843440 A1    1  4438
D 2017-05-12 21:53:13.00 00:00:00.00 HR 0000_0000000180843440 A1    1  4437
D 2017-05-12 21:53:13.10 00:00:00.00 HR 0000_0000000180843403 A2    1  4441
