ad
                           supply                    supply     clock
                            amps                      volts     volts
        A1 1.82                         EA 0.89   11.8 V     3.3 V   13:34:20.70
Rx 0.20 Tx A1 1.79 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.23
Rx 0.21 Tx A1 1.80 A2 0.72                 EA 0.72   11.8 V     3.3 V   13:34:21.74
Rx 0.20 Tx A1 1.81 A2 0.73                 EA 0.72   11.8 V     3.3 V   13:34:22.26

>up
Upload #26
Reader: DOWNSTREAM 12  Site: AA
--------- upload 26 start ---------
E 2017-06-05 11:44:34.67 upload 25 complete
D 2017-06-05 11:45:41.28 00:00:00.00 HR 0000_0000000180843403 A1    1   627
E 2017-06-05 12:07:45.41 supply power ok 12.5V
E 2017-06-05 12:07:45.41 database file opened
E 2017-06-05 12:07:45.41 starting reader after power up
D 2017-06-06 11:50:48.43 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 12:02:04.72 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-06-06 12:05:42.49 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-06 12:16:58.93 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 12:20:36.29 00:00:00.20 HR 0000_0000000180843403 A1    2  4438
D 2017-06-06 12:31:53.26 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 12:35:30.25 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 12:46:47.54 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 12:50:24.11 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 13:01:42.21 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-06 13:05:18.19 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-06 13:16:36.94 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-06 13:20:12.10 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 13:31:31.68 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-06 13:35:05.85 00:00:00.00 HR 0000_0000000180843403 A1    1  4437
D 2017-06-06 13:46:26.30 00:00:00.20 HR 0000_0000000180843440 A2    2  4441
D 2017-06-06 13:49:59.88 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 14:01:20.66 00:00:00.00 HR 0000_0000000180843440 A2    1  4439
D 2017-06-06 14:04:53.81 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 14:16:15.03 00:00:00.00 HR 0000_0000000180843440 A2    1  4440
D 2017-06-06 14:19:47.80 00:00:00.00 HR 0000_0000000180843403 A1    1  4438
D 2017-06-06 14:31:09.46 00:00:00.00 HR 0000_0000000180843440 A2    1  4441
D 2017-06-06 14:34:41.75 00:00:00.00 HR 0000_0000000180843403 A1    1  4439
D 2017-06-06 14:46:03.92 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-06 14:49:35.79 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-06-06 15:00:58.36 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
D 2017-06-06 15:04:29.83 00:00:00.00 HR 0000_0000000180843403 A1    1  4440
D 2017-06-06 15:15:52.78 00:00:00.00 HR 0000_0000000180843440 A2    1  4442
