ad
                           supply                    supply     clock
                            amps                      volts     volts
                                A4 0.84 EA 3.66   12.1 V     3.3 V   14:43:10.85
Rx 0.22 Tx                 A3 0.88 A4 0.84 EA 0.54   12.1 V     3.3 V   14:43:11.38
Rx 0.20 Tx                 A3 0.88 A4 0.82 EA 0.52   12.1 V     3.3 V   14:43:11.89
Rx 0.21 Tx                 A3 0.88 A4 0.84 EA 0.53   12.1 V     3.3 V   14:43:12.41

>up
Upload #26
Reader: UPSTREAM 34  Site: Up
--------- upload 26 start ---------
E 2019-06-13 14:38:39.29 upload 25 complete
E 2019-06-13 14:53:50.19 supply power ok 12.5V
E 2019-06-13 14:53:50.19 database file opened
E 2019-06-13 14:53:50.19 starting reader after power up
D 2019-06-14 02:47:27.63 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 02:48:21.70 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 03:02:24.94 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 03:03:15.59 00:00:00.20 HR 0000_0000000180843403 A4    2  4438
D 2019-06-14 03:17:22.05 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 03:18:09.47 00:00:00.20 HR 0000_0000000180843403 A4    2  4437
D 2019-06-14 03:32:19.34 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 03:33:03.53 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 03:47:16.64 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 03:47:57.42 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 04:02:13.90 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 04:02:51.26 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 04:17:11.23 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 04:17:45.16 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 04:32:08.35 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 04:32:39.26 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 04:47:05.43 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 04:47:33.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 05:02:02.70 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 05:02:27.17 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 05:16:59.77 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 05:17:21.22 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 05:31:56.87 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 05:32:15.30 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 05:46:54.20 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 05:47:09.40 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 06:01:51.30 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 06:02:03.48 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 06:16:48.61 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 06:16:57.37 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 06:31:45.89 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 06:31:51.44 00:00:00.20 HR 0000_0000000180843403 A4    2  4439
D 2019-06-14 06:46:43.21 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 06:46:45.73 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 07:01:39.82 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 07:01:40.33 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 07:16:33.99 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 07:16:37.52 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 07:31:28.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 07:31:34.86 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 07:46:22.22 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 07:46:31.98 00:00:00.00 HW 0000_0000000000004896 A3    1  4454
D 2019-06-14 08:01:16.35 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-06-14 08:01:29.53 00:00:00.00 HW 0000_0000000000004896 A3    1  4453
D 2019-06-14 08:16:10.49 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 08:16:26.90 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 08:31:04.53 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 08:31:24.37 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 08:45:58.62 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 08:46:21.89 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 09:00:52.69 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 09:01:19.17 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 09:15:46.54 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 09:16:16.64 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 09:30:40.60 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 09:31:14.13 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 09:45:34.43 00:00:00.20 HR 0000_0000000180843403 A4    2  4438
D 2019-06-14 09:46:11.57 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 10:00:28.27 00:00:00.20 HR 0000_0000000180843403 A4    2  4437
D 2019-06-14 10:01:09.05 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 10:15:22.27 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 10:16:06.66 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-14 10:30:16.06 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 10:31:04.48 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-06-14 10:45:10.12 00:00:00.00 HR 0000_0000000180843403 A4    1  4439
D 2019-06-14 10:46:01.96 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 11:00:03.94 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 11:00:59.62 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-14 11:14:57.86 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 11:15:57.16 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 11:30:54.55 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 11:44:45.82 00:00:00.00 HR 0000_0000000180843403 A4    1  8877
D 2019-06-14 11:45:52.18 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 11:59:39.73 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 12:00:49.71 00:00:00.00 HW 0000_0000000000004896 A3    1  4456
D 2019-06-14 12:14:33.70 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 12:15:47.10 00:00:00.00 HW 0000_0000000000004896 A3    1  4455
D 2019-06-14 12:29:27.47 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-06-14 12:30:44.90 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-14 12:44:21.43 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 12:45:42.89 00:00:00.00 HW 0000_0000000000004896 A3    1  4458
D 2019-06-14 12:59:15.36 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 13:00:40.45 00:00:00.20 HW 0000_0000000000004896 A3    2  4456
D 2019-06-14 13:14:09.31 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 13:15:38.43 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-14 13:29:02.98 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-06-14 13:30:36.53 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-06-14 13:43:56.90 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 13:45:34.29 00:00:00.00 HW 0000_0000000000004896 A3    1  4457
D 2019-06-14 13:58:50.81 00:00:00.00 HR 0000_0000000180843403 A4    1  4438
D 2019-06-14 14:00:32.40 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
D 2019-06-14 14:13:44.50 00:00:00.00 HR 0000_0000000180843403 A4    1  4437
D 2019-06-14 14:15:30.53 00:00:00.00 HW 0000_0000000000004896 A3    1  4459
