ad
                           supply                 supply     clock
                            amps                   volts     volts
Rx 0.15 Tx A1 1.27 A2 1.20                 EA 0.88   12.7 V     3.3 V   16:03:35.31
Rx 0.17 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:35.82
Rx 0.16 Tx A1 1.28 A2 1.16                 EA 0.88   12.7 V     3.3 V   16:03:36.33
Rx 0.15 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:36.84
Rx 0.15 Tx A1 1.28 A2 1.20                 EA 0.89   12.7 V     3.3 V   16:03:37.36

>up
upload #56 start: 05/21/2013 11:01:36.38
Site code: JUL
--------- upload 56 start ---------
05/21/2013 11:01:36.38 upload 55 complete
05/21/2013 11:06:14.72 supply power ok 12.8V
05/21/2013 11:06:14.72 database file opened
05/21/2013 11:06:14.72 starting reader after power up
05/22/2013 10:45:12.45 starting reader after power up
05/22/2013 10:47:48.16  00:00:00.14 R 0000_0000000180843403 A1    2  1130
05/22/2013 11:02:43.71  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 11:10:43.55  00:00:00.14 R 0000_0000000180598569 A2    2 11524
05/22/2013 11:17:39.34  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/22/2013 11:32:34.81  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 11:41:36.64  00:00:00.00 R 0000_0000000180598569 A2    1 14003
05/22/2013 11:47:30.27  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 12:02:25.70  00:00:00.13 R 0000_0000000180843403 A1    2  6765
05/22/2013 12:12:29.55  00:00:00.14 R 0000_0000000180598569 A2    2 14002
05/22/2013 12:17:21.25  00:00:00.13 R 0000_0000000180843403 A1    2  6766
05/22/2013 12:32:16.71  00:00:00.13 R 0000_0000000180843403 A1    2  6765
05/22/2013 12:43:22.76  00:00:00.14 R 0000_0000000180598569 A2    2 13996
05/22/2013 12:47:12.17  00:00:00.13 R 0000_0000000180843403 A1    2  6773
05/22/2013 13:02:07.62  00:00:00.14 R 0000_0000000180843403 A1    2  6770
05/22/2013 13:14:16.05  00:00:00.00 R 0000_0000000180598569 A2    1 13997
05/22/2013 13:17:03.12  00:00:00.00 R 0000_0000000180843403 A1    1  6765
05/22/2013 13:31:58.55  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 13:45:09.35  00:00:00.00 R 0000_0000000180598569 A2    1 14002
05/22/2013 13:46:53.82  00:00:00.13 R 0000_0000000180843403 A1    2  6766
05/22/2013 14:01:49.05  00:00:00.14 R 0000_0000000180843403 A1    2  6764
05/22/2013 14:16:02.43  00:00:00.00 R 0000_0000000180598569 A2    1 14004
05/22/2013 14:16:44.31  00:00:00.00 R 0000_0000000180843403 A1    1  6764
05/22/2013 14:31:39.51  00:00:00.13 R 0000_0000000180843403 A1    2  6766
05/22/2013 14:46:34.74  00:00:00.14 R 0000_0000000180843403 A1    2  6764
05/22/2013 14:46:55.45  00:00:00.14 R 0000_0000000180598569 A2    2 14003
05/22/2013 15:01:30.05  00:00:00.00 R 0000_0000000180843403 A1    1  6765
05/22/2013 15:16:25.43  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 15:17:48.58  00:00:00.00 R 0000_0000000180598569 A2    1 14005
05/22/2013 15:31:20.83  00:00:00.13 R 0000_0000000180843403 A1    2  6766
05/22/2013 15:46:16.23  00:00:00.00 R 0000_0000000180843403 A1    1  6766
05/22/2013 15:48:41.68  00:00:00.00 R 0000_0000000180598569 A2    1 14006
05/22/2013 16:01:11.63  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 16:16:07.12  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 16:19:34.90  00:00:00.15 R 0000_0000000180598569 A2    2 14007
05/22/2013 16:31:02.69  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/22/2013 16:45:58.06  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 16:50:28.14  00:00:00.14 R 0000_0000000180598569 A2    2 14006
05/22/2013 17:00:53.55  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 17:15:49.07  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 17:21:21.45  00:00:00.00 R 0000_0000000180598569 A2    1 14007
05/22/2013 17:30:44.57  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 17:45:40.12  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/22/2013 17:52:14.46  00:00:00.13 R 0000_0000000180598569 A2    2 14003
05/22/2013 18:00:35.76  00:00:00.00 R 0000_0000000180843403 A1    1  6770
05/22/2013 18:15:31.27  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/22/2013 18:23:07.65  00:00:00.00 R 0000_0000000180598569 A2    1 14005
05/22/2013 18:30:26.71  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/22/2013 18:45:22.17  00:00:00.14 R 0000_0000000180843403 A1    2  6769
05/22/2013 18:54:00.69  00:00:00.14 R 0000_0000000180598569 A2    2 13996
05/22/2013 19:00:17.73  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/22/2013 19:15:13.30  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 19:24:53.74  00:00:00.00 R 0000_0000000180598569 A2    1 14001
05/22/2013 19:30:08.88  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/22/2013 19:45:04.42  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/22/2013 19:55:46.54  00:00:00.14 R 0000_0000000180598569 A2    2 14000
05/22/2013 20:00:00.02  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 20:14:55.59  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 20:26:39.38  00:00:00.14 R 0000_0000000180598569 A2    2 13998
05/22/2013 20:29:51.20  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/22/2013 20:44:46.74  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/22/2013 20:57:32.07  00:00:00.14 R 0000_0000000180598569 A2    2 13998
05/22/2013 20:59:42.23  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 21:14:37.81  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 21:28:24.80  00:00:00.00 R 0000_0000000180598569 A2    1 13998
05/22/2013 21:29:33.43  00:00:00.00 R 0000_0000000180843403 A1    1  6766
05/22/2013 21:44:29.01  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/22/2013 21:59:17.41  00:00:00.00 R 0000_0000000180598569 A2    1 13997
05/22/2013 21:59:24.62  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/22/2013 22:14:20.10  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 22:29:15.64  00:00:00.14 R 0000_0000000180843403 A1    2  6765
05/22/2013 22:30:10.12  00:00:00.13 R 0000_0000000180598569 A2    2 13999
05/22/2013 22:44:11.29  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 22:59:06.90  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 23:01:02.78  00:00:00.13 R 0000_0000000180598569 A2    2 13997
05/22/2013 23:14:02.58  00:00:00.14 R 0000_0000000180843403 A1    2  6766
05/22/2013 23:28:58.19  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/22/2013 23:31:55.31  00:00:00.13 R 0000_0000000180598569 A2    2 13996
05/22/2013 23:43:53.88  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/22/2013 23:58:49.40  00:00:00.13 R 0000_0000000180843403 A1    2  6768
05/23/2013 00:02:48.05  00:00:00.00 R 0000_0000000180598569 A2    1 13997
05/23/2013 00:13:45.10  00:00:00.00 R 0000_0000000180843403 A1    1  6767
05/23/2013 00:28:40.62  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/23/2013 00:33:40.93  00:00:00.00 R 0000_0000000180598569 A2    1 14002
05/23/2013 00:43:36.33  00:00:00.14 R 0000_0000000180843403 A1    2  6768
05/23/2013 00:58:31.92  00:00:00.15 R 0000_0000000180843403 A1    2  6767
05/23/2013 01:04:33.78  00:00:00.00 R 0000_0000000180598569 A2    1 13999
05/23/2013 01:13:27.59  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/23/2013 01:28:23.20  00:00:00.14 R 0000_0000000180843403 A1    2  6767
05/23/2013 01:35:26.38  00:00:00.13 R 0000_0000000180598569 A2    2 14001
05/23/2013 01:43:18.82  00:00:00.13 R 0000_0000000180843403 A1    2  6767
05/23/2013 01:58:14.50  00:00:00.00 R 0000_0000000180843403 A1    1  6768
05/23/2013 02:06:18.98  00:00:00.13 R 0000_0000000180598569 A2    2 14000
