up6
Upload #6, 968 records
Reader: Noname  Site: AA
--------- upload 6 start ---------
E 2016-03-18 09:38:07.09 upload 5 complete
E 2016-03-18 09:41:16.11 parameter change: mux sequence '13'
D 2016-03-18 21:31:05.60 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 21:44:13.26 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-18 21:46:01.30 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 21:59:08.92 00:00:00.22 HR 0000_0000000180573731 A3    2  4447
D 2016-03-18 22:00:56.96 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 22:14:04.59 00:00:00.20 HR 0000_0000000180573731 A3    2  4446
D 2016-03-18 22:15:52.62 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 22:29:00.47 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
D 2016-03-18 22:30:48.09 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-18 22:43:56.14 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
D 2016-03-18 22:45:43.77 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-18 22:58:51.87 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
D 2016-03-18 23:00:39.11 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-18 23:13:47.39 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-18 23:15:34.61 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
E 2016-03-18 23:18:00.01 11.6V 0.20A 0.95A 0.00A 0.80A 0.00A  0N  0N  0N  
D 2016-03-18 23:28:43.10 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
D 2016-03-18 23:30:29.92 00:00:00.21 HR 0000_0000000180843403 A1    2  4445
D 2016-03-18 23:43:38.64 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-18 23:45:25.47 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-18 23:58:34.16 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-19 00:00:20.78 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-19 00:13:29.90 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
D 2016-03-19 00:15:16.14 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-03-19 00:28:25.62 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
D 2016-03-19 00:30:11.84 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 00:43:20.95 00:00:00.20 HR 0000_0000000180573731 A3    2  4445
D 2016-03-19 00:45:07.18 00:00:00.00 HR 0000_0000000180843403 A1    1  4445
D 2016-03-19 00:58:16.49 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 01:00:02.71 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 01:13:12.01 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-19 01:14:58.45 00:00:00.00 HR 0000_0000000180843403 A1    1  4447
D 2016-03-19 01:28:07.36 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 01:29:53.98 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 01:43:02.70 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 01:44:49.53 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
E 2016-03-19 01:55:00.01 11.5V 0.20A 0.95A 0.00A 0.79A 0.00A  1N  0N  2N  
D 2016-03-19 01:57:58.23 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-19 01:59:45.06 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 02:12:53.70 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-19 02:14:40.35 00:00:00.20 HR 0000_0000000180843403 A1    2  4445
D 2016-03-19 02:27:49.38 00:00:00.00 HR 0000_0000000180573731 A3    1  4447
D 2016-03-19 02:29:36.00 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 02:42:44.82 00:00:00.00 HR 0000_0000000180573731 A3    1  4446
D 2016-03-19 02:44:31.46 00:00:00.20 HR 0000_0000000180843403 A1    2  4446
D 2016-03-19 02:57:40.12 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 02:59:27.13 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
D 2016-03-19 03:12:35.37 00:00:00.00 HR 0000_0000000180573731 A3    1  4445
D 2016-03-19 03:14:22.59 00:00:00.00 HR 0000_0000000180843403 A1    1  4446
